;tiempo;Delphinidin-3-O-sambubioside-5-O-glucoside;Delphinidin 3,5-O-diglucoside;Cyanidin-3-O-sambubioside-5-O-glucoside + Cyanidin 3,5-O-diglucoside;Delphinidin-3-O-sambubioside;Delphinidin-3-O-glucoside;Cyanidin-3-O-sambubioside +Cyanidin-3-O-glucoside;O-trygycosil naringenin;Eriodyctiol 7-O-rutinoside;Naringenin  7-O-rutinoside;Hespertin  7-O-rutinoside;mg Ac. Ascórbico (AA)/100ml de zumo;mg Ac. Dehidroascórbico/100ml de zumo
ST1_rep1;-1;;;;;;;;;;;15,35;3,26
ST2_rep1;-1;;;;;;;;;;;15,35;3,26
STP_rep1;-1;;;;;;;;;;;15,35;3,26
SU1_rep1;-1;;;;;;;;;;;;
SU2_rep1;-1;;;;;;;;;;;;
SUP_rep1;-1;;;;;;;;;;;;
ST1_rep2;-1;;;;;;;;;;;14,97;3,40
ST2_rep2;-1;;;;;;;;;;;14,97;3,40
STP_rep2;-1;;;;;;;;;;;14,97;3,40
SU1_rep2;-1;;;;;;;;;;;;
SU2_rep2;-1;;;;;;;;;;;;
SUP_rep2;-1;;;;;;;;;;;;
ST1_rep3;-1;;;;;;;;;;;15,88;1,95
ST2_rep3;-1;;;;;;;;;;;15,88;1,95
STP_rep3;-1;;;;;;;;;;;15,88;1,95
SU1_rep3;-1;;;;;;;;;;;;
SU2_rep3;-1;;;;;;;;;;;;
SUP_rep3;-1;;;;;;;;;;;;
ST1_rep1;0;;;;;;;;;;;12,12;3,60
ST2_rep1;0;;;;;;;;;;;11,78;3,52
STP_rep1;0;;;;;;;;;;;11,61;4,01
SU1_rep1;0;;;;;;;;;;;;
SU2_rep1;0;;;;;;;;;;;;
SUP_rep1;0;;;;;;;;;;;;
ST1_rep2;0;;;;;;;;;;;12,31;3,76
ST2_rep2;0;;;;;;;;;;;12,05;3,51
STP_rep2;0;;;;;;;;;;;11,95;4,01
SU1_rep2;0;;;;;;;;;;;;
SU2_rep2;0;;;;;;;;;;;;
SUP_rep2;0;;;;;;;;;;;;
ST1_rep3;0;;;;;;;;;;;12,34;3,75
ST2_rep3;0;;;;;;;;;;;12,52;3,63
STP_rep3;0;;;;;;;;;;;11,63;4,07
SU1_rep3;0;;;;;;;;;;;;
SU2_rep3;0;;;;;;;;;;;;
SUP_rep3;0;;;;;;;;;;;;
ST1_rep1;7;;;;;;;;;;;10,09;3,96
ST2_rep1;7;;;;;;;;;;;7,67;2,27
STP_rep1;7;;;;;;;;;;;8,41;4,56
SU1_rep1;7;;;;;;;;;;;;
SU2_rep1;7;;;;;;;;;;;;
SUP_rep1;7;;;;;;;;;;;;
ST1_rep2;7;;;;;;;;;;;9,39;3,83
ST2_rep2;7;;;;;;;;;;;8,80;2,24
STP_rep2;7;;;;;;;;;;;9,71;3,91
SU1_rep2;7;;;;;;;;;;;;
SU2_rep2;7;;;;;;;;;;;;
SUP_rep2;7;;;;;;;;;;;;
ST1_rep3;7;;;;;;;;;;;9,90;4,04
ST2_rep3;7;;;;;;;;;;;8,19;2,18
STP_rep3;7;;;;;;;;;;;9,95;3,92
SU1_rep3;7;;;;;;;;;;;;
SU2_rep3;7;;;;;;;;;;;;
SUP_rep3;7;;;;;;;;;;;;
ST1_rep1;15;;;;;;;;;;;6,77;3,49
ST2_rep1;15;;;;;;;;;;;5,38;1,47
STP_rep1;15;;;;;;;;;;;6,86;3,27
SU1_rep1;15;;;;;;;;;;;;
SU2_rep1;15;;;;;;;;;;;;
SUP_rep1;15;;;;;;;;;;;;
ST1_rep2;15;;;;;;;;;;;8,70;3,25
ST2_rep2;15;;;;;;;;;;;4,96;1,28
STP_rep2;15;;;;;;;;;;;8,01;3,42
SU1_rep2;15;;;;;;;;;;;;
SU2_rep2;15;;;;;;;;;;;;
SUP_rep2;15;;;;;;;;;;;;
ST1_rep3;15;;;;;;;;;;;7,78;3,41
ST2_rep3;15;;;;;;;;;;;4,56;1,36
STP_rep3;15;;;;;;;;;;;7,64;3,38
SU1_rep3;15;;;;;;;;;;;;
SU2_rep3;15;;;;;;;;;;;;
SUP_rep3;15;;;;;;;;;;;;
ST1_rep1;30;;;;;;;;;;;4,60;2,80
ST2_rep1;30;;;;;;;;;;;2,66;0,74
STP_rep1;30;;;;;;;;;;;4,96;2,71
SU1_rep1;30;;;;;;;;;;;;
SU2_rep1;30;;;;;;;;;;;;
SUP_rep1;30;;;;;;;;;;;;
ST1_rep2;30;;;;;;;;;;;6,13;2,81
ST2_rep2;30;;;;;;;;;;;2,17;0,74
STP_rep2;30;;;;;;;;;;;4,94;2,81
SU1_rep2;30;;;;;;;;;;;;
SU2_rep2;30;;;;;;;;;;;;
SUP_rep2;30;;;;;;;;;;;;
ST1_rep3;30;;;;;;;;;;;5,30;2,71
ST2_rep3;30;;;;;;;;;;;2,39;0,69
STP_rep3;30;;;;;;;;;;;4,98;2,50
SU1_rep3;30;;;;;;;;;;;;
SU2_rep3;30;;;;;;;;;;;;
SUP_rep3;30;;;;;;;;;;;;
ST1_rep1;45;;;;;;;;;;;2,99;1,85
ST2_rep1;45;;;;;;;;;;;2,17;0,67
STP_rep1;45;;;;;;;;;;;2,26;1,79
SU1_rep1;45;;;;;;;;;;;;
SU2_rep1;45;;;;;;;;;;;;
SUP_rep1;45;;;;;;;;;;;;
ST1_rep2;45;;;;;;;;;;;2,51;1,79
ST2_rep2;45;;;;;;;;;;;2,28;0,61
STP_rep2;45;;;;;;;;;;;1,88;1,68
SU1_rep2;45;;;;;;;;;;;;
SU2_rep2;45;;;;;;;;;;;;
SUP_rep2;45;;;;;;;;;;;;
ST1_rep3;45;;;;;;;;;;;3,51;1,72
ST2_rep3;45;;;;;;;;;;;2,24;0,57
STP_rep3;45;;;;;;;;;;;2,41;1,73
SU1_rep3;45;;;;;;;;;;;;
SU2_rep3;45;;;;;;;;;;;;
SUP_rep3;45;;;;;;;;;;;;
ST1_rep1;60;;;;;;;;;;;2,96;1,19
ST2_rep1;60;;;;;;;;;;;2,16;0,10
STP_rep1;60;;;;;;;;;;;1,92;1,12
SU1_rep1;60;;;;;;;;;;;;
SU2_rep1;60;;;;;;;;;;;;
SUP_rep1;60;;;;;;;;;;;;
ST1_rep2;60;;;;;;;;;;;3,22;0,94
ST2_rep2;60;;;;;;;;;;;2,26;0,25
STP_rep2;60;;;;;;;;;;;2,09;0,94
SU1_rep2;60;;;;;;;;;;;;
SU2_rep2;60;;;;;;;;;;;;
SUP_rep2;60;;;;;;;;;;;;
ST1_rep3;60;;;;;;;;;;;2,90;1,05
ST2_rep3;60;;;;;;;;;;;2,19;0,07
STP_rep3;60;;;;;;;;;;;2,22;0,80
SU1_rep3;60;;;;;;;;;;;;
SU2_rep3;60;;;;;;;;;;;;
SUP_rep3;60;;;;;;;;;;;;
ST1_rep1;90;;;;;;;;;;;1,80;0,00
ST2_rep1;90;;;;;;;;;;;0,52;0,00
STP_rep1;90;;;;;;;;;;;0,90;0,00
SU1_rep1;90;;;;;;;;;;;;
SU2_rep1;90;;;;;;;;;;;;
SUP_rep1;90;;;;;;;;;;;;
ST1_rep2;90;;;;;;;;;;;1,48;0,00
ST2_rep2;90;;;;;;;;;;;0,80;0,00
STP_rep2;90;;;;;;;;;;;1,00;0,00
SU1_rep2;90;;;;;;;;;;;;
SU2_rep2;90;;;;;;;;;;;;
SUP_rep2;90;;;;;;;;;;;;
ST1_rep3;90;;;;;;;;;;;1,22;0,00
ST2_rep3;90;;;;;;;;;;;0,93;0,00
STP_rep3;90;;;;;;;;;;;1,10;0,00
SU1_rep3;90;;;;;;;;;;;;
SU2_rep3;90;;;;;;;;;;;;
SUP_rep3;90;;;;;;;;;;;;
